iter	MultiClass
0	1.441990484
1	1.329423233
2	1.236239884
3	1.161650047
4	1.098671016
5	1.045503962
6	0.9995604367
7	0.9582771942
8	0.9206111938
9	0.8900061302
10	0.863206778
11	0.8340442698
12	0.8128727281
13	0.7905841261
14	0.7708581667
15	0.753107807
16	0.735643787
17	0.72129047
18	0.706905478
19	0.6940061665
20	0.6848159094
21	0.6746111068
22	0.6641218809
23	0.6547902077
24	0.645440016
25	0.6381988733
26	0.6298601508
27	0.6216865168
28	0.614179902
29	0.6071721867
30	0.6006507064
31	0.5941905233
32	0.5885068006
33	0.5829154227
34	0.5773309375
35	0.5730044298
36	0.5680639127
37	0.5641857917
38	0.5591185342
39	0.5559004991
40	0.5524676046
41	0.5483945962
42	0.5457542761
43	0.5427209187
44	0.5377628052
45	0.5325455934
46	0.5289274004
47	0.5259438795
48	0.522558903
49	0.518996976
50	0.5160540745
51	0.5130904608
52	0.5087759294
53	0.5054095153
54	0.5025015362
55	0.4981752006
56	0.4957878671
57	0.4928976827
58	0.4908679204
59	0.4882773071
60	0.4864656278
61	0.4840375577
62	0.4819687095
63	0.4795611446
64	0.4772219638
65	0.4743983984
66	0.4725371758
67	0.4705660892
68	0.4683611028
69	0.4659106089
70	0.4641326833
71	0.4611432362
72	0.4582554044
73	0.4568623385
74	0.4554146833
75	0.4539439819
76	0.4527650754
77	0.4502348361
78	0.4480182334
79	0.4466884325
80	0.4440317942
81	0.4420613445
82	0.4398359275
83	0.4378047365
84	0.4361866782
85	0.4342078309
86	0.4318399237
87	0.4299272117
88	0.4277392232
89	0.4245942769
90	0.4235420379
91	0.4215822922
92	0.4189433187
93	0.4173151047
94	0.4158403809
95	0.4145120163
96	0.4131556089
97	0.4119443151
98	0.4099093679
99	0.4083974289
100	0.4064394417
101	0.4050566089
102	0.4038678553
103	0.4017351985
104	0.400099944
105	0.3981432186
106	0.396735781
107	0.3956443376
108	0.3940331163
109	0.3924084156
110	0.3915054881
111	0.3905318061
112	0.3895433805
113	0.3883183947
114	0.3872309162
115	0.3861345649
116	0.3844809472
117	0.3827400679
118	0.381919409
119	0.3807497368
120	0.3790033228
121	0.3780545639
122	0.3767849887
123	0.3757939992
124	0.374864056
125	0.3734592496
126	0.3719499371
127	0.3710290634
128	0.369427219
129	0.3679846084
130	0.3667111619
131	0.3654411449
132	0.3643310829
133	0.3631955856
134	0.3616141054
135	0.3599790663
136	0.3588559747
137	0.357779755
138	0.3563302922
139	0.3551216717
140	0.3541351603
141	0.3529128916
142	0.3511547709
143	0.3503329303
144	0.349637322
145	0.3488054933
146	0.3478338536
147	0.3467696892
148	0.3457789215
149	0.344814418
150	0.3438540365
151	0.342602777
152	0.3413545681
153	0.3407445708
154	0.3394395876
155	0.3378861533
156	0.3373160835
157	0.3365040428
158	0.3354385537
159	0.3350724591
160	0.3338349807
161	0.3330638137
162	0.3318792093
163	0.3312781158
164	0.3298820893
165	0.329299426
166	0.3287559118
167	0.3278065881
168	0.3264740781
169	0.3254311403
170	0.3245752692
171	0.3239880981
172	0.3234256304
173	0.3226806795
174	0.3220549998
175	0.3210506264
176	0.3201920667
177	0.3193716593
178	0.3189604662
179	0.3181754585
180	0.3175592184
181	0.3159282799
182	0.3153233278
183	0.3145047945
184	0.3137976412
185	0.3132215358
186	0.3126770388
187	0.311946588
188	0.3108432843
189	0.3103432588
190	0.3095953968
191	0.3088928428
192	0.3081374876
193	0.3071212729
194	0.3067045702
195	0.3059527339
196	0.3053178222
197	0.3045122811
198	0.3041177001
199	0.3028474546
200	0.3023850508
201	0.3016794732
202	0.3009805028
203	0.3001684413
204	0.2996401554
205	0.2992405304
206	0.2987774087
207	0.2973602994
208	0.2968360098
209	0.2962457661
210	0.295956666
211	0.2953529187
212	0.2950889329
213	0.2942071267
214	0.29383444
215	0.2928718838
216	0.2924281336
217	0.2919775847
218	0.2913606401
219	0.2906900318
220	0.2903617267
221	0.2897985586
222	0.2892216996
223	0.288619828
224	0.2878670171
225	0.2871988734
226	0.2864663612
227	0.2859978816
228	0.2847593187
229	0.284104216
230	0.2835703499
231	0.2832114307
232	0.2827870183
233	0.2823208458
234	0.2820944368
235	0.2816357279
236	0.2808707201
237	0.2805053687
238	0.2802101108
239	0.2798854777
240	0.2791192483
241	0.2786645439
242	0.2780271046
243	0.2776856298
244	0.2773069006
245	0.2768049307
246	0.2763031123
247	0.2757485391
248	0.2755544414
249	0.2753105774
250	0.2748997188
251	0.2743566483
252	0.2738132647
253	0.2734217906
254	0.2730317671
255	0.2725022173
256	0.2716831661
257	0.2713482673
258	0.2703185618
259	0.2699075856
260	0.269422706
261	0.2685681792
262	0.2678416797
263	0.2675094988
264	0.2667911221
265	0.2662945504
266	0.2661693729
267	0.2658654121
268	0.2653956054
269	0.2648106479
270	0.2644127878
271	0.2638645196
272	0.2634298821
273	0.2630825567
274	0.2626487379
275	0.2623197983
276	0.261807576
277	0.2614045327
278	0.2610527887
279	0.2605492923
280	0.2602753446
281	0.2599261498
282	0.2592896737
283	0.2591417755
284	0.2584864285
285	0.2577053796
286	0.257225615
287	0.2565210278
288	0.2560567496
289	0.2559296645
290	0.2557116504
291	0.2550163442
292	0.2544921851
293	0.2542785143
294	0.2539591364
295	0.2537337061
296	0.2532582942
297	0.2529571925
298	0.252265258
299	0.2521560259
300	0.2517500219
301	0.2510953059
302	0.2505037095
303	0.2501653269
304	0.2496829112
305	0.2494295691
306	0.249172736
307	0.2488905967
308	0.2484638086
309	0.2481678639
310	0.2475719345
311	0.2472718489
312	0.2466838745
313	0.2461944166
314	0.2459945167
315	0.2454197691
316	0.2449323135
317	0.2446725073
318	0.2443676256
319	0.2437193266
320	0.2433092197
321	0.2428923797
322	0.2426993105
323	0.242353046
324	0.2421641845
325	0.2417857198
326	0.2416156123
327	0.2412775036
328	0.2410606
329	0.2405935567
330	0.2401532871
331	0.2398341099
332	0.2393353173
333	0.2389609406
334	0.2387504712
335	0.238356745
336	0.2379059949
337	0.2374677773
338	0.2372085391
339	0.2368225524
340	0.236660841
341	0.2364707698
342	0.2359267047
343	0.2357612003
344	0.2351189137
345	0.234699059
346	0.234074057
347	0.2336978968
348	0.2333526671
349	0.2328508565
350	0.2326073134
351	0.2323950918
352	0.2318220173
353	0.2314791466
354	0.2312794912
355	0.2310516972
356	0.2309519193
357	0.2304089719
358	0.2302453781
359	0.2300680914
360	0.2298091659
361	0.2296520854
362	0.2293009903
363	0.2291583768
364	0.2287974322
365	0.2283659403
366	0.2282466148
367	0.2280906525
368	0.2279404607
369	0.2275666286
370	0.2272782963
371	0.22694843
372	0.2267040434
373	0.2263017575
374	0.2261843352
375	0.2254484107
376	0.2253364071
377	0.2251466272
378	0.2245746871
379	0.2243306588
380	0.2241404233
381	0.2238595172
382	0.2234331434
383	0.2232413111
384	0.2230627293
385	0.2227339551
386	0.2224414083
387	0.221765206
388	0.2215242822
389	0.2212936567
390	0.2210590167
391	0.220861091
392	0.2205298626
393	0.2202507658
394	0.2199490884
395	0.2195434576
396	0.2192428959
397	0.2190040818
398	0.218670813
399	0.2183002642
400	0.2181909219
401	0.2180165567
402	0.2173207197
403	0.2171533151
404	0.2169863706
405	0.2168239962
406	0.2166626223
407	0.2163792104
408	0.2161784821
409	0.2156739857
410	0.2152569532
411	0.2149237207
412	0.2146138014
413	0.2143743686
414	0.214208457
415	0.214034053
416	0.2137144383
417	0.2136269111
418	0.2134732795
419	0.2130983175
420	0.2126023387
421	0.2122835424
422	0.2121315556
423	0.2119440952
424	0.2117143712
425	0.211495421
426	0.2113847247
427	0.2112041519
428	0.2110701854
429	0.2109067687
430	0.210616161
431	0.2101126413
432	0.209677377
433	0.2093741354
434	0.2089772611
435	0.2088192909
436	0.2084641776
437	0.2082595218
438	0.2081712795
439	0.2080559863
440	0.2077857783
441	0.207618303
442	0.2074938575
443	0.2073037727
444	0.2071402589
445	0.2070042379
446	0.2067635137
447	0.2064525225
448	0.2063476313
449	0.2060411418
450	0.2058264426
451	0.205667825
452	0.2052188545
453	0.2049015501
454	0.2046488973
455	0.2043005993
456	0.204018152
457	0.2038819954
458	0.2037198862
459	0.2036503148
460	0.2033413365
461	0.2030306018
462	0.2028579513
463	0.2025457356
464	0.2023793228
465	0.2021899988
466	0.2021118919
467	0.2018957985
468	0.2016094248
469	0.2013231976
470	0.2010736632
471	0.2008459465
472	0.2007732485
473	0.2005652237
474	0.2001628763
475	0.1999876267
476	0.1997712109
477	0.1995102128
478	0.199200715
479	0.1991228451
480	0.1988622311
481	0.1986942319
482	0.1984389544
483	0.198211333
484	0.1981526798
485	0.1980141725
486	0.197630355
487	0.1971347119
488	0.1969395268
489	0.1966185363
490	0.1964603105
491	0.1961616132
492	0.1959138606
493	0.1956592243
494	0.1954494572
495	0.1953986367
496	0.1952974646
497	0.1950375059
498	0.1947351695
499	0.194533598
500	0.1943605148
501	0.1941329532
502	0.1940203977
503	0.1938813708
504	0.193649319
505	0.1935431498
506	0.1933708997
507	0.1930331756
508	0.1926322573
509	0.1925025196
510	0.1923531729
511	0.1920021021
512	0.1917882323
513	0.1915602039
514	0.1911501874
515	0.1910578236
516	0.1906900335
517	0.190504375
518	0.1901880007
519	0.1900928654
520	0.1899936173
521	0.1898285075
522	0.1896792464
523	0.1895668271
524	0.1893702742
525	0.1891897119
526	0.1889542293
527	0.1888101978
528	0.1887007651
529	0.1886099968
530	0.1884839645
531	0.1883617088
532	0.1881587408
533	0.1878698766
534	0.1877925652
535	0.1876765156
536	0.1874846848
537	0.1873729169
538	0.1872643372
539	0.1870652476
540	0.1869758537
541	0.1868923987
542	0.186757814
543	0.1866029489
544	0.1865420391
545	0.1864735974
546	0.1863303909
547	0.1862077316
548	0.1860958954
549	0.1859274224
550	0.1857330841
551	0.1856499506
552	0.1854353881
553	0.1852770692
554	0.1849795481
555	0.1846373498
556	0.1842893185
557	0.1840638506
558	0.1839209281
559	0.1837265307
560	0.1835722785
561	0.1835302347
562	0.183310587
563	0.1830624565
564	0.1829176262
565	0.1827710039
566	0.1825603883
567	0.1823050153
568	0.1821211273
569	0.1820193821
570	0.1818873327
571	0.1815700743
